"cname","ccode","cabbr","isocode","isoabbr","date","year","month","day","iso_region","region","region_type","ppi_total","ppi_regional","ppi_national"
"Canada",20,"CAN",124,"CA",2020-03-05,2020,3,5,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-03-06,2020,3,6,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-03-07,2020,3,7,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-03-08,2020,3,8,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-03-09,2020,3,9,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-03-10,2020,3,10,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-03-11,2020,3,11,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-03-12,2020,3,12,"CA-MB","Manitoba","province",0.025,0.025,0
"Canada",20,"CAN",124,"CA",2020-03-13,2020,3,13,"CA-MB","Manitoba","province",0.175,0.125,0.05
"Canada",20,"CAN",124,"CA",2020-03-14,2020,3,14,"CA-MB","Manitoba","province",0.175,0.125,0.05
"Canada",20,"CAN",124,"CA",2020-03-15,2020,3,15,"CA-MB","Manitoba","province",0.175,0.125,0.05
"Canada",20,"CAN",124,"CA",2020-03-16,2020,3,16,"CA-MB","Manitoba","province",0.225,0.125,0.1
"Canada",20,"CAN",124,"CA",2020-03-17,2020,3,17,"CA-MB","Manitoba","province",0.225,0.125,0.1
"Canada",20,"CAN",124,"CA",2020-03-18,2020,3,18,"CA-MB","Manitoba","province",0.325,0.125,0.2
"Canada",20,"CAN",124,"CA",2020-03-19,2020,3,19,"CA-MB","Manitoba","province",0.325,0.125,0.2
"Canada",20,"CAN",124,"CA",2020-03-20,2020,3,20,"CA-MB","Manitoba","province",0.45,0.25,0.2
"Canada",20,"CAN",124,"CA",2020-03-21,2020,3,21,"CA-MB","Manitoba","province",0.45,0.25,0.2
"Canada",20,"CAN",124,"CA",2020-03-22,2020,3,22,"CA-MB","Manitoba","province",0.45,0.25,0.2
"Canada",20,"CAN",124,"CA",2020-03-23,2020,3,23,"CA-MB","Manitoba","province",0.45,0.25,0.2
"Canada",20,"CAN",124,"CA",2020-03-24,2020,3,24,"CA-MB","Manitoba","province",0.45,0.25,0.2
"Canada",20,"CAN",124,"CA",2020-03-25,2020,3,25,"CA-MB","Manitoba","province",0.5,0.25,0.275
